name,slug,value,date_of_information,ranking,region
"Sweden","sweden","413,200","2017 est.","36","Europe"
"Iraq","iraq","398,000","2015 est.","37","Middle East"
"Norway","norway","371,600","2017 est.","38","Europe"
"Portugal","portugal","323,000","2017 est.","39","Europe"
"Finland","finland","310,600","2017 est.","40","Europe"
"Colombia","colombia","303,600","2015 est.","41","South America"
"Israel","israel","294,300","2017 est.","42","Middle East"
"Pakistan","pakistan","291,200","2015 est.","43","South Asia"
"Kazakhstan","kazakhstan","290,700","2015 est.","44","Central Asia"
"Bahrain","bahrain","274,500","2015 est.","45","Middle East"
"Qatar","qatar","273,800","2015 est.","46","Middle East"
"Romania","romania","232,600","2015 est.","47","Europe"
"Oman","oman","229,600","2015 est.","48","Middle East"
"Chile","chile","216,200","2017 est.","49","South America"
"Philippines","philippines","215,500","2015 est.","50","East and Southeast Asia"
"Lithuania","lithuania","196,500","2015 est.","51","Europe"
"Turkmenistan","turkmenistan","191,100","2015 est.","52","Central Asia"
"Curacao","curacao","189,800","2015 est.","53","Central America and the Caribbean"
"Austria","austria","186,500","2017 est.","54","Europe"
"Denmark","denmark","183,900","2017 est.","55","Europe"
"Czechia","czechia","177,500","2017 est.","56","Europe"
"Peru","peru","166,600","2015 est.","57","South America"
"Vietnam","vietnam","153,800","2015 est.","58","East and Southeast Asia"
"Hungary","hungary","152,400","2017 est.","59","Europe"
"Bulgaria","bulgaria","144,300","2015 est.","60","Europe"
"Azerbaijan","azerbaijan","138,900","2015 est.","61","Middle East"
"Ecuador","ecuador","137,400","2015 est.","62","South America"
"Trinidad and Tobago","trinidad-and-tobago","134,700","2015 est.","63","Central America and the Caribbean"
"Slovakia","slovakia","131,300","2017 est.","64","Europe"
"New Zealand","new-zealand","115,100","2017 est.","65","Australia and Oceania"
"Syria","syria","111,600","2015 est.","66","Middle East"
"Cuba","cuba","104,100","2015 est.","67","Central America and the Caribbean"
"Sudan","sudan","94,830","2015 est.","68","Africa"
"Libya","libya","89,620","2015 est.","69","Africa"
"Croatia","croatia","74,620","2015 est.","70","Europe"
"Serbia","serbia","74,350","2015 est.","71","Europe"
"Cote d'Ivoire","cote-divoire","69,360","2017 est.","72","Africa"
"Jordan","jordan","67,240","2015 est.","73","Middle East"
"Morocco","morocco","66,230","2017 est.","74","Africa"
"Bolivia","bolivia","65,960","2015 est.","75","South America"
"Ireland","ireland","64,970","2017 est.","76","Europe"
"Ukraine","ukraine","63,670","2017 est.","77","Europe"
"Uzbekistan","uzbekistan","61,740","2015 est.","78","Central Asia"
"Switzerland","switzerland","61,550","2017 est.","79","Europe"
"Angola","angola","53,480","2015 est.","80","Africa"
"Uruguay","uruguay","42,220","2015 est.","81","South America"
"Cameroon","cameroon","39,080","2015 est.","82","Africa"
"Nigeria","nigeria","35,010","2017 est.","83","Africa"
"Sri Lanka","sri-lanka","34,210","2017 est.","84","South Asia"
"Tunisia","tunisia","27,770","2015 est.","85","Africa"
"Bangladesh","bangladesh","26,280","2015 est.","86","South Asia"
"Jamaica","jamaica","24,250","2017 est.","87","Central America and the Caribbean"
"Papua New Guinea","papua-new-guinea","22,170","2015 est.","88","East and Southeast Asia"
"Yemen","yemen","20,180","2015 est.","89","Middle East"
"Senegal","senegal","17,590","2015 est.","90","Africa"
"Gabon","gabon","16,580","2017 est.","91","Africa"
"Dominican Republic","dominican-republic","16,060","2015 est.","92","Central America and the Caribbean"
"Congo, Republic of the","congo-republic-of-the","15,760","2015 est.","93","Africa"
"Niger","niger","15,280","2015 est.","94","Africa"
"Nicaragua","nicaragua","14,720","2015 est.","95","Central America and the Caribbean"
"Kenya","kenya","13,960","2015 est.","96","Africa"
"Burma","burma","13,330","2017 est.","97","East and Southeast Asia"
"Zambia","zambia","13,120","2015 est.","98","Africa"
"Korea, North","korea-north","11,270","2015 est.","99","East and Southeast Asia"
"Brunei","brunei","10,310","2015 est.","100","East and Southeast Asia"
"Suriname","suriname","7,571","2015 est.","101","South America"
"Kyrgyzstan","kyrgyzstan","6,996","2015 est.","102","Central Asia"
"Albania","albania","5,638","2015 est.","103","Europe"
"Ghana","ghana","2,073","2015 est.","104","Africa"
"Guatemala","guatemala","1,162","2015 est.","105","Central America and the Caribbean"
"Georgia","georgia","247","2017 est.","106","Middle East"
"Moldova","moldova","232","2015 est.","107","Europe"
"Tajikistan","tajikistan","172","2015 est.","108","Central Asia"
"Belize","belize","36","2015 est.","109","Central America and the Caribbean"
"Afghanistan","afghanistan","0","2015 est.","110","South Asia"
"American Samoa","american-samoa","0","2015 est.","111","Australia and Oceania"
"Andorra","andorra","0","2016","112","Europe"
"Antigua and Barbuda","antigua-and-barbuda","0","2015 est.","113","Central America and the Caribbean"
"Armenia","armenia","0","2015 est.","114","Middle East"
"Aruba","aruba","0","2015 est.","115","Central America and the Caribbean"
"Bahamas, The","bahamas-the","0","2015 est.","116","Central America and the Caribbean"
"Barbados","barbados","0","2015 est.","117","Central America and the Caribbean"
"Benin","benin","0","2015 est.","118","Africa"
"Bermuda","bermuda","0","2017 est.","119","North America"
"Bhutan","bhutan","0","2017 est.","120","South Asia"
"Bosnia and Herzegovina","bosnia-and-herzegovina","0","2015 est.","121","Europe"
"Botswana","botswana","0","2015 est.","122","Africa"
"British Virgin Islands","british-virgin-islands","0","2015 est.","123","Central America and the Caribbean"
"Burkina Faso","burkina-faso","0","2015 est.","124","Africa"
"Burundi","burundi","0","2015 est.","125","Africa"
"Cabo Verde","cabo-verde","0","2015 est.","126","Africa"
"Cambodia","cambodia","0","2015 est.","127","East and Southeast Asia"
"Cayman Islands","cayman-islands","0","2017 est.","128","Central America and the Caribbean"
"Central African Republic","central-african-republic","0","2017 est.","129","Africa"
"Chad","chad","0","2015 est.","130","Africa"
"Comoros","comoros","0","2015 est.","131","Africa"
"Congo, Democratic Republic of the","congo-democratic-republic-of-the","0","2017 est.","132","Africa"
"Cook Islands","cook-islands","0","2015 est.","133","Australia and Oceania"
"Costa Rica","costa-rica","0","2015 est.","134","Central America and the Caribbean"
"Cyprus","cyprus","0","2015 est.","135","Europe"
"Djibouti","djibouti","0","2015 est.","136","Africa"
"Dominica","dominica","0","2015 est.","137","Central America and the Caribbean"
"El Salvador","el-salvador","0","2015 est.","138","Central America and the Caribbean"
"Equatorial Guinea","equatorial-guinea","0","2015 est.","139","Africa"
"Eritrea","eritrea","0","2015 est.","140","Africa"
"Estonia","estonia","0","2017 est.","141","Europe"
"Eswatini","eswatini","0","2015 est.","142","Africa"
"Ethiopia","ethiopia","0","2017 est.","143","Africa"
"Falkland Islands (Islas Malvinas)","falkland-islands-islas-malvinas","0","2017 est.","144","South America"
"Faroe Islands","faroe-islands","0","2015 est.","145","Europe"
"Fiji","fiji","0","2015 est.","146","Australia and Oceania"
"French Polynesia","french-polynesia","0","2015 est.","147","Australia and Oceania"
"Gambia, The","gambia-the","0","2017 est.","148","Africa"
"Gibraltar","gibraltar","0","2017 est.","149","Europe"
"Greenland","greenland","0","2015 est.","150","North America"
"Grenada","grenada","0","2015 est.","151","Central America and the Caribbean"
"Guam","guam","0","2015 est.","152","Australia and Oceania"
"Guinea","guinea","0","2017 est.","153","Africa"
"Guinea-Bissau","guinea-bissau","0","2015 est.","154","Africa"
"Guyana","guyana","0","2015 est.","155","South America"
"Haiti","haiti","0","2015 est.","156","Central America and the Caribbean"
"Honduras","honduras","0","2017 est.","157","Central America and the Caribbean"
"Hong Kong","hong-kong","0","2015 est.","158","East and Southeast Asia"
"Iceland","iceland","0","2017 est.","159","Europe"
"Kiribati","kiribati","0","2015 est.","160","Australia and Oceania"
"Kosovo","kosovo","0","2015 est.","161","Europe"
"Laos","laos","0","2015 est.","162","East and Southeast Asia"
"Latvia","latvia","0","2017 est.","163","Europe"
"Lebanon","lebanon","0","2015 est.","164","Middle East"
"Lesotho","lesotho","0","2015 est.","165","Africa"
"Liberia","liberia","0","2017 est.","166","Africa"
"Luxembourg","luxembourg","0","2017 est.","167","Europe"
"Macau","macau","0","2015 est.","168","East and Southeast Asia"
"Madagascar","madagascar","0","2015 est.","169","Africa"
"Malawi","malawi","0","2015 est.","170","Africa"
"Maldives","maldives","0","2015 est.","171","South Asia"
"Mali","mali","0","2015 est.","172","Africa"
"Malta","malta","0","2017 est.","173","Europe"
"Marshall Islands","marshall-islands","0","2015 est.","174","Australia and Oceania"
"Mauritania","mauritania","0","2015 est.","175","Africa"
"Mauritius","mauritius","0","2017 est.","176","Africa"
"Micronesia, Federated States of","micronesia-federated-states-of","0","2014","177","Australia and Oceania"
"Mongolia","mongolia","0","2015 est.","178","East and Southeast Asia"
"Montenegro","montenegro","0","2015 est.","179","Europe"
"Montserrat","montserrat","0","2015 est.","180","Central America and the Caribbean"
"Mozambique","mozambique","0","2015 est.","181","Africa"
"Namibia","namibia","0","2015 est.","182","Africa"
"Nauru","nauru","0","2015 est.","183","Australia and Oceania"
"Nepal","nepal","0","2015 est.","184","South Asia"
"New Caledonia","new-caledonia","0","2015 est.","185","Australia and Oceania"
"Niue","niue","0","2017 est.","186","Australia and Oceania"
"North Macedonia","north-macedonia","0","2015 est.","187","Europe"
"Panama","panama","0","2015 est.","188","Central America and the Caribbean"
"Paraguay","paraguay","0","2015 est.","189","South America"
"Puerto Rico","puerto-rico","0","2015 est.","190","Central America and the Caribbean"
"Rwanda","rwanda","0","2015 est.","191","Africa"
"Saint Helena, Ascension, and Tristan da Cunha","saint-helena-ascension-and-tristan-da-cunha","0","2015 est.","192","Africa"
"Saint Kitts and Nevis","saint-kitts-and-nevis","0","2015 est.","193","Central America and the Caribbean"
"Saint Lucia","saint-lucia","0","2015 est.","194","Central America and the Caribbean"
"Saint Pierre and Miquelon","saint-pierre-and-miquelon","0","2015 est.","195","North America"
